,region,month_year,region_type,state_code,last_updated,state_name,active_listings,active_listings_yoy,homes_sold,homes_sold_yoy,homes_inventory,homes_inventory_yoy,median_dom,median_dom_yoy,median_sale_price,median_sale_price_yoy,months_of_supply,months_of_supply_yoy,new_listings,new_listings_yoy,pending_sales,pending_sales_yoy,region_type_id,month,year,month_code,month_year_code
33, National,February 2018,National,US,9/13/2020 2:44:56 PM,U.S.,1835259.0,-0.064945134,377871.0,2.3%,1327008.0,-8.2%,54.0,-6.0,268000.0,8.3%,3.511798127,-0.403917874,567757.0,-0.3%,351494.0,2.0%,11,February,2018,02,201802.0
34, National,August 2018,National,US,9/13/2020 2:44:56 PM,U.S.,2358030.0,-0.006405595,640299.0,1.8%,1691330.0,-0.3%,36.0,-3.0,284000.0,5.1%,2.641468379,-0.055439684,710128.0,4.4%,512974.0,0.4%,11,August,2018,08,201808.0
35, National,February 2020,National,US,9/13/2020 2:44:56 PM,U.S.,1814931.0,-0.069119193,405992.0,8.3%,1265253.0,-12.1%,55.0,-4.0,294000.0,6.7%,3.11644738,-0.7230738059999999,579815.0,6.3%,377966.0,13.1%,11,February,2020,02,202002.0
36, National,January 2015,National,US,9/13/2020 2:44:56 PM,U.S.,2217579.0,0.034610462,309723.0,2.1%,1738614.0,1.4%,76.0,0.0,213000.0,6.5%,5.61343712,-0.034165668999999996,512507.0,8.0%,249688.0,11.9%,11,January,2015,01,201501.0
37, National,February 2015,National,US,9/13/2020 2:44:56 PM,U.S.,2235995.0,0.028078337000000002,336264.0,8.2%,1751581.0,0.1%,76.0,-2.0,215000.0,6.8%,5.2089332,-0.416214397,525104.0,7.0%,280114.0,18.3%,11,February,2015,02,201502.0
38, National,April 2016,National,US,9/13/2020 2:44:56 PM,U.S.,2460860.0,-0.040209552,526883.0,6.0%,1793818.0,-6.8%,49.0,-6.0,245000.0,6.0%,3.4045805989999995,-0.470311352,775181.0,-2.3%,500520.0,9.4%,11,April,2016,04,201604.0
39, National,July 2020,National,US,9/13/2020 2:44:56 PM,U.S.,1946306.0,-0.183041733,700733.0,10.1%,1165359.0,-30.7%,35.0,-1.0,323000.0,8.0%,1.663057257,-0.978855363,743193.0,5.3%,620510.0,14.4%,11,July,2020,07,202007.0
40, National,November 2012,National,US,9/13/2020 2:44:56 PM,U.S.,2284637.0,-0.144342144,398471.0,21.0%,1823542.0,-17.9%,73.0,-19.0,189000.0,11.3%,4.576347004,-2.165132775,385093.0,-2.4%,244892.0,22.4%,11,November,2012,11,201211.0
41, National,June 2014,National,US,9/13/2020 2:44:56 PM,U.S.,2622420.0,0.041219039,542753.0,3.1%,2040323.0,4.5%,48.0,-4.0,229000.0,4.8%,3.7592069130000003,0.050413495,698591.0,7.7%,417504.0,5.5%,11,June,2014,06,201406.0
42, National,December 2015,National,US,9/13/2020 2:44:56 PM,U.S.,2122864.0,-0.041434766,489030.0,9.7%,1615706.0,-6.8%,60.0,-7.0,238000.0,7.0%,3.303898667,-0.587096783,337389.0,2.8%,277804.0,13.7%,11,December,2015,12,201512.0
43, National,February 2017,National,US,9/13/2020 2:44:56 PM,U.S.,1962729.0,-0.09315858800000001,369326.0,1.0%,1446179.0,-11.8%,60.0,-9.0,247000.0,8.6%,3.9157160010000003,-0.5663428939999999,569462.0,-2.6%,344754.0,6.3%,11,February,2017,02,201702.0
44, National,December 2012,National,US,9/13/2020 2:44:56 PM,U.S.,2093776.0,-0.162907839,391200.0,8.9%,1666931.0,-18.7%,76.0,-19.0,193000.0,13.7%,4.261063788,-1.443257735,297098.0,-6.9%,207831.0,12.8%,11,December,2012,12,201212.0
45, National,July 2013,National,US,9/13/2020 2:44:56 PM,U.S.,2562715.0,-0.026419547999999998,548495.0,21.6%,1983624.0,-6.0%,52.0,-16.0,220000.0,14.5%,3.6164852389999997,-1.057718025,648056.0,19.9%,397823.0,27.8%,11,July,2013,07,201307.0
46, National,September 2013,National,US,9/13/2020 2:44:56 PM,U.S.,2499150.0,0.007761874,448002.0,14.2%,1990299.0,-1.0%,58.0,-14.0,210000.0,12.2%,4.442604638,-0.679950921,548987.0,14.8%,320443.0,21.8%,11,September,2013,09,201309.0
47, National,November 2014,National,US,9/13/2020 2:44:56 PM,U.S.,2401109.0,0.024408894,378599.0,-1.5%,1905627.0,2.3%,64.0,-1.0,220000.0,5.9%,5.033354442,0.18378739600000002,398121.0,-1.7%,279135.0,1.3%,11,November,2014,11,201411.0
48, National,April 2017,National,US,9/13/2020 2:44:56 PM,U.S.,2222795.0,-0.096740564,516942.0,-1.9%,1586017.0,-11.6%,41.0,-8.0,263000.0,7.2%,3.068072414,-0.336508185,727778.0,-6.1%,498488.0,-0.4%,11,April,2017,04,201704.0
49, National,November 2017,National,US,9/13/2020 2:44:56 PM,U.S.,2050077.0,-0.054874988,495462.0,4.1%,1479362.0,-8.2%,46.0,-5.0,270000.0,6.1%,2.985819665,-0.399840484,459948.0,3.8%,383460.0,8.0%,11,November,2017,11,201711.0
50, National,December 2018,National,US,9/13/2020 2:44:56 PM,U.S.,1884136.0,0.049524686,445037.0,-10.9%,1406298.0,8.2%,51.0,1.0,277000.0,2.3%,3.1599518769999997,0.559636738,317533.0,-3.2%,292344.0,-5.8%,11,December,2018,12,201812.0
51, National,October 2012,National,US,9/13/2020 2:44:56 PM,U.S.,2450535.0,-0.123931706,423079.0,23.2%,1936114.0,-16.7%,73.0,-18.0,185000.0,9.8%,4.576241372,-2.195646708,485365.0,5.7%,286769.0,32.8%,11,October,2012,10,201210.0
52, National,December 2013,National,US,9/13/2020 2:44:56 PM,U.S.,2149710.0,0.026714308,408673.0,4.5%,1698019.0,1.9%,68.0,-8.0,212000.0,9.6%,4.154952006,-0.10611178199999999,305918.0,3.0%,229297.0,10.3%,11,December,2013,12,201312.0
53, National,May 2014,National,US,9/13/2020 2:44:56 PM,U.S.,2590465.0,0.035200987,507516.0,-5.1%,1963564.0,2.7%,52.0,-2.0,222000.0,6.0%,3.868969855,0.294191644,741741.0,5.4%,451952.0,8.3%,11,May,2014,05,201405.0
54, National,July 2015,National,US,9/13/2020 2:44:56 PM,U.S.,2732916.0,0.022384038999999998,624705.0,16.9%,2062443.0,-2.5%,45.0,-1.0,242000.0,6.0%,3.301465059,-0.654190874,723098.0,7.6%,482274.0,23.5%,11,July,2015,07,201507.0
55, National,September 2016,National,US,9/13/2020 2:44:56 PM,U.S.,2434573.0,-0.064459632,552047.0,5.0%,1830744.0,-8.6%,47.0,-3.0,253000.0,8.1%,3.316279217,-0.492936915,611739.0,1.4%,416733.0,5.2%,11,September,2016,09,201609.0
56, National,May 2018,National,US,9/13/2020 2:44:56 PM,U.S.,2282668.0,-0.034188994,633938.0,0.4%,1570615.0,-4.5%,33.0,-5.0,287000.0,6.8%,2.477553169,-0.12836708900000002,839664.0,4.5%,588392.0,2.4%,11,May,2018,05,201805.0
57, National,July 2019,National,US,9/13/2020 2:44:56 PM,U.S.,2382382.0,0.015516987,636452.0,2.0%,1681451.0,0.8%,36.0,4.0,299000.0,4.2%,2.64191262,-0.032180334,705467.0,-2.0%,542584.0,0.1%,11,July,2019,07,201907.0
58, National,August 2019,National,US,9/13/2020 2:44:56 PM,U.S.,2332120.0,-0.010987938999999999,627929.0,-1.9%,1660309.0,-1.8%,39.0,3.0,296000.0,4.0%,2.6441021190000003,0.00263374,672484.0,-5.3%,503410.0,-1.9%,11,August,2019,08,201908.0
59, National,June 2020,National,US,9/13/2020 2:44:56 PM,U.S.,1977234.0,-0.166761344,587635.0,-5.9%,1219863.0,-28.1%,39.0,3.0,310000.0,2.4%,2.075884603,-0.640568,706097.0,-4.2%,584277.0,8.9%,11,June,2020,06,202006.0
